video_id,publish_time,views
0mlNzVSJrT0,2017-04-21T06:47:32.000Z,120817
n30k5CwLhS4,2011-05-29T17:03:12.000Z,58469
0tO_l_Ed5Rs,2017-11-11T16:00:01.000Z,360223
BWPrk9PUwQE,2017-11-12T00:45:54.000Z,1775997
1WDj0DddCcM,2017-11-13T16:14:00.000Z,6685
bqgVB6Vl-lI,2017-11-11T17:00:03.000Z,200060
STI2fI7sKMo,2017-11-11T15:00:03.000Z,346924
9t9u_yPEidY,2017-11-10T15:00:00.000Z,12987863
0PpNlNJ6Nng,2017-11-11T19:03:43.000Z,1981757
sbcbvuitiTc,2017-11-10T18:23:05.000Z,1015189
ZhSk8mPSWCg,2017-11-13T20:51:31.000Z,3653
DM-ni_LSOFE,2017-11-10T23:05:25.000Z,2255529
069D0NmW39o,2017-11-11T15:00:00.000Z,1155622
c-3JxzN2u34,2017-11-12T15:05:55.000Z,9892
qooQd8AA7_M,2017-11-12T05:01:00.000Z,5626588
9KIP-Ncp2jU,2017-11-11T01:03:01.000Z,85643
KODzih-pYlU,2017-11-11T18:08:04.000Z,212310
w0XYVssCKjw,2017-11-11T20:00:02.000Z,180284
9xSx-5tmq44,2017-11-11T06:34:48.000Z,301423
1cgK-BIrXes,2017-11-10T15:07:13.000Z,835573
ujyTQNNjjDU,2017-11-10T05:00:01.000Z,3686343
4v0nOAzcG2A,2017-11-11T15:38:32.000Z,297840
8mhTWqWlQzU,2017-11-11T01:19:33.000Z,2922523
6340tX9M_eM,2017-11-10T19:00:00.000Z,595415
t4YAyT4ihIQ,2017-11-10T18:30:01.000Z,3643894
L_5_slz4ke4,2017-11-12T20:26:46.000Z,9833
Jw1Y-zhQURU,2017-11-10T07:38:29.000Z,7563254
_Iz83-Cmt6A,2017-11-09T22:23:51.000Z,54341
lY_0mkYDZDU,2017-11-10T17:00:05.000Z,357078
ObIQ0s02UHg,2017-11-10T14:40:48.000Z,1888789
AJYb0Yom5UQ,2017-10-17T20:01:44.000Z,168446
k8NxqyGcZA4,2017-11-10T12:59:55.000Z,263656
gLswXiRLdkA,2017-11-11T02:42:23.000Z,515525
2Vv-BfVoq4g,2017-11-09T11:04:14.000Z,39082222
i4YQRLQVixM,2017-11-10T07:28:14.000Z,1080230
YlvCVbfS9M0,2017-11-11T15:11:18.000Z,873362
MyEqfBkzESU,2017-11-10T20:40:44.000Z,366892
Fyyua5JzD9w,2017-11-10T17:57:59.000Z,48372
pa_oUisZZy0,2017-11-11T00:30:16.000Z,216766
cccyOn99s4Y,2017-11-10T23:00:01.000Z,81086
9Th4qTv-4jE,2017-11-13T08:38:48.000Z,3931
arJ5h2TY3I4,2017-11-10T17:00:51.000Z,1072970
UFYCTJlayS4,2017-11-11T03:56:10.000Z,56372
-2RVw2_QyxQ,2017-11-12T02:39:01.000Z,69786
e4FApt6z55c,2017-11-10T15:43:00.000Z,204298
uTH--XRCGxM,2017-11-10T17:01:04.000Z,101233
2XK4omx9uMU,2017-11-10T14:40:32.000Z,1126501
gEHCXl4J9Qo,2017-11-10T02:32:15.000Z,2498463
RkHuWjiR-LM,2017-11-10T18:03:54.000Z,224608
#NAME?,2017-11-12T00:18:43.000Z,45965
xfmipNU4Odc,2017-11-10T18:02:04.000Z,317304
fNtLIcyjsnI,2017-11-09T17:11:32.000Z,1996082
abGCYPCk294,2017-11-11T17:55:27.000Z,44939
OKoL852K9uA,2017-11-11T05:23:36.000Z,118316
b4vTZx_AtHk,2017-11-09T18:36:48.000Z,2244971
kOnQocd799Y,2017-11-09T17:14:11.000Z,2844271
wJYE0sFOteE,2017-11-10T16:01:04.000Z,99019
jp9hK-jY6yY,2017-11-09T22:21:13.000Z,3591699
DIU3xPdhCBI,2017-11-09T22:26:10.000Z,1137392
viyRD5z6ilQ,2017-11-10T05:00:01.000Z,147193
QFfEtKvXMAs,2017-11-10T17:00:05.000Z,482334
x9mh-SwSKas,2017-11-10T18:42:55.000Z,269509
g5c1bk8weaQ,2017-11-10T03:43:43.000Z,3741812
fCTKDn3Q8xQ,2017-11-09T11:24:14.000Z,1185773
xg9ebVTL9yE,2017-11-10T05:00:06.000Z,178313
fbHbTBP_u7U,2017-11-09T05:00:05.000Z,2185367
uiA4B5Y63IQ,2017-11-09T22:00:07.000Z,366814
QOksZ8VogRw,2017-11-09T17:03:42.000Z,797436
Ja_GMU7-sjs,2017-11-09T21:18:33.000Z,1646057
9oFP-pOMNwE,2017-11-09T08:01:40.000Z,271685
ttf_EzEkxBk,2017-11-08T17:29:15.000Z,3505996
Eg_kW5fw6qU,2017-11-09T23:27:18.000Z,194946
_dhneCO4YEE,2017-11-09T07:00:01.000Z,392482
J_QGZspO4gg,2017-11-09T15:45:05.000Z,1882868
ozkqm2ifMw8,2017-11-10T13:24:10.000Z,226317
RYs08kX3Ih4,2017-11-10T01:30:00.000Z,232083
PkRBTF6nt4E,2017-11-10T13:00:02.000Z,144694
Rq9-mW6HgQE,2017-11-09T08:35:00.000Z,908489
LMCuKltaY3M,2017-11-10T08:00:01.000Z,180606
EYkEshCOhEU,2017-11-10T00:24:29.000Z,308352
6nJw-jPQYVI,2015-05-21T07:55:00.000Z,193832
1Wk8ZRgXQnY,2017-11-09T22:27:45.000Z,41251
tOFkFZbPdnQ,2017-11-09T00:44:51.000Z,524911
qEEtzzi1EII,2017-11-09T13:34:58.000Z,467804
RQDphL2MVlM,2017-11-10T22:22:04.000Z,77302
cYw-oyJ7AEY,2017-11-10T08:00:01.000Z,304700
8l_e6bx8UG8,2017-11-08T17:00:00.000Z,1440724
_qSW96a2aKY,2017-11-08T05:01:25.000Z,878560
2VP846QcA_4,2017-11-09T11:30:00.000Z,155533
lsfzA7sWlOM,2017-11-09T19:59:48.000Z,161231
X7flefV8tec,2017-11-09T02:37:49.000Z,379918
l7je4VAUvjA,2017-11-10T08:00:03.000Z,90454
eHIY3HNNqzM,2017-11-10T08:00:03.000Z,157037
5gFpcEKayz4,2017-11-09T09:00:00.000Z,895507
r96KpNTcog4,2017-11-09T14:00:17.000Z,134372
6Detw08jRhs,2017-11-09T18:24:34.000Z,55901
_CJN_ryETIY,2017-11-09T23:59:08.000Z,207678
